"","id","BFSNR","Gemeinde","Stadtkreis","lat","lng","room_type","person_capacity","price","beds","bedrooms","bathrooms","reviews_count","name","userid","instant_bookable"
"1906",6080762,261,"Zürich","12",47.397051154667,8.58656666215383,"Ganze Unterkunft",2,88,2,1,1,12,"Charming, green & very close 2 city",22600456,FALSE
"1907",20044226,96,"Regensdorf",NA,47.4307256366493,8.47069641578923,"Ganze Unterkunft",5,88,2,3,2,0,"Nice Flat 17min far from Zurich",71989996,TRUE
"1908",10349245,261,"Zürich","3",47.3731707625193,8.51699554913133,"Ganze Unterkunft",2,85,1,1,1.5,0,"",5182855,FALSE
"1909",16110682,261,"Zürich","6",47.3841405997417,8.54387387620042,"Ganze Unterkunft",2,88,1,1,1,18,"Nice studio in Zurich!",29234267,FALSE
"1910",14189519,261,"Zürich","4+5",47.3802599058174,8.50818808734989,"Ganze Unterkunft",2,88,1,0,1,10,"modernes Studio",15547956,FALSE
"1911",19514723,137,"Oberrieden",NA,47.268854647057,8.58259106539712,"Ganze Unterkunft",4,85,3,2,1,0,"3 1/2 Zimmerwohnung möbiliert.",137049325,TRUE
"1912",729364,152,"Herrliberg",NA,47.2948069770796,8.61440529512089,"Ganze Unterkunft",1,84,1,1,1,0,"Apartment Serviced HerrlibergZurich",3788572,FALSE
"1913",8898393,261,"Zürich","3",47.3619961482375,8.51652734834458,"Ganze Unterkunft",2,85,1,1,1,5,"3 room appertment zuerich binz",23512547,FALSE
"1914",9358301,261,"Zürich","6",47.3898943832306,8.53713885596478,"Privatzimmer",2,88,1,1,1,41,"Spacious room with balcony",48564459,TRUE
"1915",4422263,69,"Wallisellen",NA,47.4136551619335,8.60043330778418,"Privatzimmer",2,87,2,1,1.5,6,"Room 12m2 house 15"" airport&zürich",22931144,FALSE
"1916",19456144,261,"Zürich","9",47.3695688338962,8.49599947782714,"Ganze Unterkunft",2,88,3,2,1,0,"Cozy 2 room apartment with balcony",10008230,FALSE
"1917",14289806,261,"Zürich","9",47.3684314901476,8.48703965240093,"Ganze Unterkunft",2,88,1,0,1,11,"Apartment in the green",81722077,TRUE
"1918",6738816,261,"Zürich","3",47.3608454301645,8.50925221551967,"Ganze Unterkunft",2,84,2,1,1,0,"",10523271,FALSE
"1919",7730447,261,"Zürich","1+2",47.3599539256895,8.5258464749627,"Privatzimmer",1,88,1,1,1,16,"Simple, basic room in Zurich City",40622030,FALSE
"1920",6704519,261,"Zürich","7+8",47.3540672858466,8.5580585605344,"Ganze Unterkunft",2,85,1,1,1.5,1,"Penthouse im Seefeld",8216499,FALSE
"1921",6597958,261,"Zürich","10",47.3972468565571,8.51238193399423,"Ganze Unterkunft",2,85,1,1,1,19,"One Bedroom Apartment with Balcony",4271589,FALSE
"1922",12599668,261,"Zürich","9",47.3891943507774,8.47978312763085,"Ganze Unterkunft",2,85,1,1,1,0,"quiet apartment in Zürich",10546970,FALSE
"1923",14829511,261,"Zürich","9",47.395817277212,8.49269823536262,"Ganze Unterkunft",3,88,1,1,1,11,"Cozy Apartment in Zürich",92750168,FALSE
"1924",12911080,261,"Zürich","3",47.3709316985399,8.51980308040992,"Ganze Unterkunft",2,88,1,1,1,8,"Gemütliches 35m2 Studio an top Lage",70775783,FALSE
"1925",7625816,261,"Zürich","4+5",47.378968490063,8.52490242338964,"Privatzimmer",2,88,1,1,1.5,16,"A Room in an Artistic Attic Flat",2595724,FALSE
"1926",7584667,230,"Winterthur","Wülflingen",47.5036649732993,8.69410245733117,"Privatzimmer",2,88,1,1,1,13,"Schlossberg",34884432,FALSE
"1927",11276957,261,"Zürich","6",47.3877019745981,8.54620534038679,"Privatzimmer",2,84,1,1,1,0,"Central, but calm private room",39347887,FALSE
"1928",9238185,261,"Zürich","3",47.3718884029386,8.52232335249402,"Ganze Unterkunft",2,92,1,1,1,101,"Great studio in Zurich center #11",4818418,TRUE
"1929",8647606,156,"Meilen",NA,47.2689556655512,8.65894202441227,"Ganze Unterkunft",2,93,1,0,1,143,"Gemütliches Studio mit Seeblick",29097837,TRUE
"1930",15763566,261,"Zürich","7+8",47.3561571612209,8.55919137719164,"Ganze Unterkunft",4,89,1,2,1.5,31,"Central old building in Seefeld-District Zurich",101927022,TRUE
"1931",16641069,247,"Schlieren",NA,47.4071442284948,8.4478123674405,"Ganze Unterkunft",2,90,1,1,1,14,"Charming apartment in Schlieren close to Zurich",109960814,TRUE
"1932",17451877,138,"Richterswil",NA,47.2074352099991,8.69828657650214,"Ganze Unterkunft",2,89,1,1,1,10,"Amazing view over the lake of Zurich",34332103,FALSE
"1933",9482978,261,"Zürich","4+5",47.385821585188,8.5303638084959,"Ganze Unterkunft",4,92,2,2,1,101,"2-room + balcony apartment in hip neighbourhood",11075018,FALSE
"1934",11333946,261,"Zürich","6",47.3822179285162,8.54623651762328,"Ganze Unterkunft",2,91,1,0,1,40,"Studio in the Heart of Zurich-City",58818657,FALSE
"1935",15562015,261,"Zürich","4+5",47.3709686247745,8.52732481335074,"Ganze Unterkunft",2,93,1,0,1,17,"‘Pied-à-terre’ in Zurich's Heart",21380976,FALSE
"1936",20278088,261,"Zürich","1+2",47.3639324716398,8.53612476697338,"Privatzimmer",1,91,1,1,0.5,1,"Lake&Park/Paradeplatz/White Castle Lovely White",144577119,FALSE
"1937",5168505,261,"Zürich","7+8",47.3579263704982,8.59776898991699,"Privatzimmer",2,92,1,1,0.5,44,"Doppelbett Zimmer 1 Top of Zurich",22404783,TRUE
"1938",10170406,261,"Zürich","7+8",47.3809974642427,8.55174515229059,"Privatzimmer",2,90,1,1,1,64,"Renovated room, close to Uni/ETH",52215160,FALSE
"1939",18562628,261,"Zürich","9",47.3764481271499,8.48347220539185,"Privatzimmer",4,93,2,2,2,13,"Two bright, cozy rooms in well connected apartment",32261823,TRUE
"1940",12860185,261,"Zürich","1+2",47.3733020175596,8.54176615327707,"Privatzimmer",1,93,1,1,1,22,"Wake up in the heart of the Oldtown",70291646,FALSE
"1941",6604700,261,"Zürich","4+5",47.3820124146081,8.53177123138846,"Privatzimmer",2,93,1,1,1,201,"5 min. from Zurich Main Station",34557531,FALSE
"1942",16927270,135,"Kilchberg",NA,47.3205520815533,8.54991079029793,"Ganze Unterkunft",2,92,1,1,1,0,"Zürich Kilchberg am See, Seeblick Alpenblick Lindt",84863754,TRUE
"1943",20553876,261,"Zürich","6",47.3916472828703,8.53750307303275,"Ganze Unterkunft",3,93,2,2,1,0,"Wipkingen, ruhige 3-Zimmer Wohnung",13306448,FALSE
"1944",1962016,261,"Zürich","9",47.3801537954396,8.49808293685561,"Privatzimmer",4,93,3,1,2,36,"A spacious space",9175734,FALSE
"1945",10427405,261,"Zürich","3",47.3722722729961,8.5223351373209,"Ganze Unterkunft",2,92,1,1,1,120,"Great studio in Zurich center #10",4818418,TRUE
"1946",18787845,62,"Kloten",NA,47.4676910314672,8.58152790504395,"Ganze Unterkunft",2,92,1,1,1,7,"-> Flughafen 9Min -> Zürich HB Zentrum 29Min, 35m2",71787315,TRUE
"1947",6073270,261,"Zürich","11",47.4084937580338,8.5387695193949,"Ganze Unterkunft",2,92,1,1,1,11,"Stylish loft for 1-2 in great spot",185345,FALSE
"1948",15556987,261,"Zürich","4+5",47.3738109065308,8.52834883515996,"Ganze Unterkunft",2,93,1,1,1,20,"Most central in Zurich",871357,FALSE
"1949",8012537,261,"Zürich","3",47.3749788120907,8.51537585699826,"Ganze Unterkunft",2,92,1,2,1,24,"Charming flat ln the middle of zuri",32027511,FALSE
"1950",20289134,261,"Zürich","4+5",47.3901985686813,8.50801212446124,"Ganze Unterkunft",2,92,1,0,1,0,"Sehr zentrale Wohnung im herzen Zürichs",85612080,FALSE
"1951",18391184,261,"Zürich","4+5",47.3797826577444,8.52643761960434,"Ganze Unterkunft",2,93,1,1,1,8,"Studio mit Terrasse mitten im Stadtzentrum",116042262,FALSE
"1952",14609921,261,"Zürich","3",47.3778699801389,8.50238208292916,"Ganze Unterkunft",3,93,1,1,1,0,"nice, bright 2 room flat near center with balcony",26726390,FALSE
"1953",19283462,261,"Zürich","7+8",47.3609022264395,8.57662778752147,"Privatzimmer",2,91,1,1,1,1,"Styled,cozy, green surrounding in the City",1738612,FALSE
"1954",20325033,261,"Zürich","12",47.4045334527534,8.5574439366475,"Ganze Unterkunft",6,89,2,2,1,2,"Zürich Oerlikon 3.5 Zimmer .Whit Free Parking!!!",32142321,TRUE
"1955",20582985,261,"Zürich","7+8",47.3598812900674,8.55126844234801,"Ganze Unterkunft",6,93,2,2,1,0,"Renovated city apartment close to the lake",10696443,TRUE
"1956",19058271,261,"Zürich","11",47.4105112412356,8.54089696997631,"Ganze Unterkunft",3,93,2,0,1,2,"3.5 room apartment in Zurich-Oerlikon (Kreis 11)",25291258,FALSE
"1957",2662129,261,"Zürich","1+2",47.3727183473132,8.54419697618435,"Ganze Unterkunft",1,92,1,0,1,6,"Spacious cozy loft in old-town",10651736,FALSE
"1958",18860575,261,"Zürich","12",47.4111715362548,8.55991115141749,"Gemeinsames Zimmer",4,93,2,1,1,13,"Neue 1,5 Zimmer Wohnung mitten in Zürich-Oerlikon",131409268,FALSE
"1959",256765,261,"Zürich","4+5",47.378549174817,8.52339372207594,"Ganze Unterkunft",1,93,1,3,1,46,"F. White Room (for 1 person)",1219996,TRUE
"1960",18056228,261,"Zürich","7+8",47.359242652794,8.56945877257002,"Ganze Unterkunft",2,93,1,0,1,3,"Studio in the heart of Zurich",119796925,FALSE
"1961",1812239,261,"Zürich","7+8",47.3646276291907,8.5488435168183,"Privatzimmer",2,92,1,1,1.5,22,"Room close to opera & lake",9494584,FALSE
"1962",20231844,261,"Zürich","7+8",47.3557156583988,8.55527659896017,"Ganze Unterkunft",2,89,1,1,1,0,"Untermiete meiner Wohnung für 1 bis 3 Monate.",144152326,FALSE
"1963",13092242,261,"Zürich","1+2",47.3709710056927,8.53980060539103,"Privatzimmer",2,90,1,1,1,12,"Top Located Apartment on Two Floors",71272202,FALSE
"1964",8189215,261,"Zürich","10",47.4115916927763,8.48126519917091,"Privatzimmer",2,92,1,1,1,40,"Charming room with french touch",37219401,FALSE
"1965",17810181,261,"Zürich","10",47.3974174975795,8.52788472618843,"Ganze Unterkunft",3,93,2,2,1,3,"Wonderful Flat between Zürich Riverside & Forest",58002192,TRUE
"1966",15496734,261,"Zürich","6",47.3985164537886,8.54017666776124,"Ganze Unterkunft",3,93,2,1,1,77,"Cute apartment, close to transportation and park",6700860,TRUE
"1967",18679166,261,"Zürich","10",47.3936495953116,8.52440574390673,"Ganze Unterkunft",2,93,2,2,1,3,"Wunderschöne Stadtwohnung in lebendigem Stadtteil",4302543,FALSE
"1968",18815382,248,"Uitikon",NA,47.3752612388929,8.44860196651722,"Privatzimmer",2,93,2,1,1,3,"Cozy bedrooms with private bathroom",109327286,FALSE
"1969",1137813,69,"Wallisellen",NA,47.4083532327388,8.60456813715733,"Privatzimmer",2,92,1,1,2,6,"Nice room in new appartment",6241450,FALSE
